rank,score,tier,l1,l2,l3,l4,l5,name,retailer,country,price,cur,azn,reviews,bestseller_ranks,countries,url,img,ev
351,51.2,Ranked in 1 chain,HOME ESSENTIALS & DIY,Home Devices,Security,Locks,Combination padlock,Armor 230 Pc 30 Mm Değiştirilebilir Şifreli Asma Kilit,n11,Turkey,210,TRY,7.31,73,#49 Fix Price Russia (Для дома > Хозяйственные мелочи (household sundries)),"Russia, Turkey",https://www.n11.com/urun/armor-230-pc-30-mm-degistirilebilir-sifreli-asma-kilit-7414150,https://n11scdn.akamaized.net/a1/400_570/16/48/10/83/IMG-2089617272502146818.jpg,"Fix Price Russia: #49 in 'Для дома > Хозяйственные мелочи (household sundries)' (sorted by units sold) | n11 210 TL (search listing), 73 ratings 5.0 / 58 reviews, category Asma Kilit; Fix Price sells related locks (cable lock with keys 2 pcs; mailbox lock 38 mm) in 'Для ремонта'"
352,51.2,Ranked in 1 chain,HOME TEXTILES,Window textiles,Curtains,Thread curtains,String / thread curtain,"Штора нитяная, 200х100 см, в ассортименте",Fix Price,Kazakhstan,299,KZT,1.14,0,#5 Fix Price Kazakhstan (Для дома > Текстиль (Textiles)),"Kazakhstan, Russia",https://fix-price.kz/ru/catalog/dlya-doma/p-5073058-shtora-nityanaya-200h100-sm-v-assortimente,https://img.fix-price.kz/insecure/rs:fit:800:800/plain/bit/_marketplace/images/origin/92/928723b7b0ecd960cb1811992b8fffa8.jpg,"Fix Price Kazakhstan: #5 in 'Для дома > Текстиль (Textiles)' (popular first) | Fix Price KZ 299 KZT, polyester 200x100 cm, listed in KZ 'Текстиль'; Fix Price RU lists same SKU"
353,51.2,Ranked in 1 chain,DECOR & ORGANISATION,Decorative Accessories,Figurines,Decorative Figurines,Small decorative figurine (polyresin / ceramic),"Декоративная фигурка ""Ангел"", в ассортименте",Fix Price,Russia,124,RUB,2.49,0,#3 Fix Price Russia (Сувениры и подарки > Фигурки и статуэтки (figurines)),"Kazakhstan, Russia",https://fix-price.com/catalog/suveniry-i-podarki/p-5243846-dekorativnaya-figurka-angel-v-assortimente,https://img.fix-price.com/insecure/rs:fit:800:800/plain/bit/_marketplace/images/origin/34/34fdee28c1134ce7fee9f063d16047f0.jpg,"Fix Price Russia: #3 in 'Сувениры и подарки > Фигурки и статуэтки (figurines)' (sorted by units sold) | Fix Price RU 124 RUB; Fix Price has a dedicated 'Фигурки и статуэтки' subcategory (25+ SKUs, 3 pages); Fix Price KZ lists 24 figurines on page 1 incl. same Angel SKU, ceramic hen, bear, camel"
354,51.2,Ranked in 1 chain,DECOR & ORGANISATION,Storage & Organisation,Baskets,Fabric & Felt Baskets,"Felt storage basket, small","Koszyk filcowy 25 x 16,5 x 11 cm",Action,Poland,9.9,PLN,4.38,0,#8 Fix Price Kazakhstan (Для дома > Текстиль (Textiles)),"Kazakhstan, Poland",https://www.action.com/pl-pl/p/4000065/,https://asset.action.com/image/upload/t_digital_product_image/w_1920/4000065_8718964238156-110_01_k5tubj.webp,"Fix Price Kazakhstan: #8 in 'Для дома > Текстиль (Textiles)' (popular first) | Action PL 9.90 zl (also 28x21x12 cm at 14.90 zl), shown both in 'Dekoracje' and 'Przechowywanie i organizacja'; Kaspi KZ lists felt basket 17x17x16 cm (войлок)"
355,51.2,Ranked in 1 chain,DECOR & ORGANISATION,Home Fragrance & Candles,Candles,Scented Candles,Large 3-wick scented candle in glass,"Ароматическая свеча в стакане с 3 фитилями, в ассортименте",Fix Price,Russia,299,RUB,6.0,0,"#4 Fix Price Russia (Сувениры и подарки > Свечи, диффузоры, подсвечники (candles, diffusers, holders))","Kazakhstan, Poland, Russia",https://fix-price.com/catalog/suveniry-i-podarki/p-5231255-aromaticheskaya-svecha-v-stakane-s-3-fitilyami-v-assortimente,https://img.fix-price.com/insecure/rs:fit:800:800/plain/bit/_marketplace/images/origin/a8/a81cbdd8f37a8c1667fcce119f1dcbb8.jpg,"Fix Price Russia: #4 in 'Сувениры и подарки > Свечи, диффузоры, подсвечники (candles, diffusers, holders)' (sorted by units sold) | Fix Price RU 299 RUB (660 g, 11x8 cm); shown on Fix Price RU 'Сувениры и подарки' landing page; Fix Price KZ lists same SKU plus 3-wick 'Гранде'; Action PL large lidded scented candle Ø12.5x15.5 cm 29.95 zl"
356,51.2,Ranked in 1 chain,DECOR & ORGANISATION,Decorative Accessories,Artificial Flowers & Plants,Artificial Bouquets,Artificial flower bouquet / bush,Bukiet ze sztucznych róż,Action,Poland,17.99,PLN,7.95,0,"#5 Fix Price Russia (Сувениры и подарки > Вазы, цветы, флористика (vases, artificial flowers))","Kazakhstan, Poland, Russia",https://www.action.com/pl-pl/p/3206037/bukiet-ze-sztucznych-roz/,https://asset.action.com/image/upload/t_digital_product_image/w_1920/3206037_8714344541601-110_01_oez8al.webp,"Fix Price Russia: #5 in 'Сувениры и подарки > Вазы, цветы, флористика (vases, artificial flowers)' (sorted by units sold) | Action PL 17.99 zl; Action also 'Bukiet sztucznych kwiatów w wazonie Willow & Bloom' 11.95 zl and 'Bukiet na łodydze' 16.95 zl; Fix Price KZ 'Цветок искусственный ""Пион кустовой""' (bush) and 'Пион мини'"
357,51.0,Ranked in 2 chains,HOME ESSENTIALS & DIY,Tools,Hand Tools,Wrenches,Spanner set (combination / open-end),"Набор гаечных ключей, Master Hand, 6 шт.",Fix Price,Kazakhstan,1899.0,KZT,7.24,0,#79 Fix Price Kazakhstan (Для дома > Для ремонта (Repair / tools)); #81 Fix Price Russia (Для дома > Для ремонта (repair / tools / hardware)),"Kazakhstan, Russia",https://fix-price.kz/ru/catalog/dlya-doma/p-5001214-nabor-gaechnyh-klyuchey-aster-and-6-sht,https://img.fix-price.kz/insecure/rs:fit:800:800/plain/bit/_marketplace/images/origin/5c/5c7039f3846c36df72c4fff9dfedb3ea.jpg,Fix Price Kazakhstan: #79 in 'Для дома > Для ремонта (Repair / tools)' (popular first); Fix Price Russia: #81 in 'Для дома > Для ремонта (repair / tools / hardware)' (sorted by units sold)
358,51.0,Ranked in 2 chains,HOME ESSENTIALS & DIY,Tools,Hand Tools,Wrenches,Adjustable wrench,"Ключ разводной, Master Hand, в ассортименте",Fix Price,Kazakhstan,1899.0,KZT,7.24,0,#81 Fix Price Kazakhstan (Для дома > Для ремонта (Repair / tools)); #85 Fix Price Russia (Для дома > Для ремонта (repair / tools / hardware)),"Kazakhstan, Russia",https://fix-price.kz/ru/catalog/dlya-doma/p-5001385-klyuch-razvodnoy-aster-and-v-assortimente,https://img.fix-price.kz/insecure/rs:fit:800:800/plain/bit/_marketplace/images/origin/dc/dcfbf468d937b504d784929af3b2e60c.jpg,Fix Price Kazakhstan: #81 in 'Для дома > Для ремонта (Repair / tools)' (popular first); Fix Price Russia: #85 in 'Для дома > Для ремонта (repair / tools / hardware)' (sorted by units sold)
359,51.0,Ranked in 2 chains,DECOR & ORGANISATION,Storage & Organisation,Baskets,Wooden Crates,Decorative wooden crate / box,"Ящик с ручкой ""Марокко"", в ассортименте",Fix Price,Kazakhstan,1899.0,KZT,7.24,0,"#71 Fix Price Kazakhstan (Декор для дома > Товары для декора (Decor)); #72 Fix Price Russia (Сувениры и подарки > Подставки, шкатулки, светильники (trays, boxes, decorative lights))","Kazakhstan, Russia",https://fix-price.kz/ru/catalog/dekor-dlya-doma-tovary-dlya-prazdnika/p-5246363-yaschik-s-ruchkoy-marokko-v-assortimente,https://img.fix-price.kz/insecure/rs:fit:800:800/plain/bit/_marketplace/images/origin/51/513452ff3271fae0f341d9280878505b.png,"Fix Price Kazakhstan: #71 in 'Декор для дома > Товары для декора (Decor)' (popular first); Fix Price Russia: #72 in 'Сувениры и подарки > Подставки, шкатулки, светильники (trays, boxes, decorative lights)' (sorted by units sold)"
360,51.0,Ranked in 2 chains,HOME ESSENTIALS & DIY,Electrical & Power,Mobile & Charging,Chargers,Wireless (Qi) charging pad,"Беспроводное зарядное устройство с кабелем USB, FLARX, в ассортименте",Fix Price,Kazakhstan,2199.0,KZT,8.39,0,"#69 Fix Price Kazakhstan (Для дома > Электротовары (Electrical)); #97 Fix Price Russia (Для дома > Электротовары (electrical: batteries, bulbs, lighting, power, mobile))","Kazakhstan, Russia",https://fix-price.kz/ru/catalog/dlya-doma/p-5013511-besprovodnoe-zaryadnoe-ustroystvo-s-kabelem---v-assortimente,https://img.fix-price.com/insecure/rs:fit:800:800/plain/pim/images/c8b5653031cb1ab02779079a61590ea2_35.jpg,"Fix Price Kazakhstan: #69 in 'Для дома > Электротовары (Electrical)' (popular first); Fix Price Russia: #97 in 'Для дома > Электротовары (electrical: batteries, bulbs, lighting, power, mobile)' (sorted by units sold)"
361,51.0,Ranked in 2 chains,HOME ESSENTIALS & DIY,Tools,Hand Tools,Pliers & cutters,Groove-joint (water-pump) pliers,"Клещи переставные, Master Hand, в ассортименте",Fix Price,Kazakhstan,2199.0,KZT,8.39,0,#68 Fix Price Kazakhstan (Для дома > Для ремонта (Repair / tools)); #92 Fix Price Russia (Для дома > Для ремонта (repair / tools / hardware)),"Kazakhstan, Russia",https://fix-price.kz/ru/catalog/dlya-doma/p-5001381-kleschi-perestavnye-aster-and-v-assortimente,https://img.fix-price.kz/insecure/rs:fit:800:800/plain/bit/_marketplace/images/origin/6b/6b2778132897a9b22cbd1ee58ce4698c.jpg,Fix Price Kazakhstan: #68 in 'Для дома > Для ремонта (Repair / tools)' (popular first); Fix Price Russia: #92 in 'Для дома > Для ремонта (repair / tools / hardware)' (sorted by units sold)
362,51.0,Ranked in 2 chains,HOME ESSENTIALS & DIY,Tools,Power tool accessories,Drill bits,Drill bit set,"Набор свёрл, Master Hand, 8 шт., в ассортименте",Fix Price,Kazakhstan,2199.0,KZT,8.39,0,#91 Fix Price Kazakhstan (Для дома > Для ремонта (Repair / tools)); #104 Fix Price Russia (Для дома > Для ремонта (repair / tools / hardware)),"Kazakhstan, Russia",https://fix-price.kz/ru/catalog/dlya-doma/p-5001367-nabor-svrl-aster-and-8-sht-v-assortimente,https://img.fix-price.com/insecure/rs:fit:800:800/plain/pim/images/a3da00854f9a3e7b19397763b3ef1605_33.jpg,Fix Price Kazakhstan: #91 in 'Для дома > Для ремонта (Repair / tools)' (popular first); Fix Price Russia: #104 in 'Для дома > Для ремонта (repair / tools / hardware)' (sorted by units sold)
363,50.6,Ranked in 1 chain,FOOD STORAGE & DRINKWARE-TO-GO,Drinkware to go,Kids drinkware,Kids bottles,Kids character water bottle / mini thermos,Termos Hello Kitty,Action,Poland,21.95,PLN,9.7,31,#11 n11 Turkey (n11 search: matara),"Poland, Russia, Turkey",https://www.action.com/pl-pl/p/3219423/termos-hello-kitty/,https://asset.action.com/image/upload/t_digital_product_image/w_1920/3219423_3664944720171-110_01_jdyqp8.webp,"n11 Turkey: #11 in 'n11 search: matara' (best-selling) | Action PL 21.95 zl (500 ml); n11 TR kids straw bottles - Uzspace 700 ml 28 reviews, Uzspace 680/500 ml 14 reviews each, Coral High Kids steel 500 ml 5 reviews; Fix Price RU 'Бутылка для воды с трубочкой, WOWBOTTLES, 400 мл' (kids puzzle print)"
364,50.5,Ranked in 1 chain,"TEA, COFFEE & TABLE",Tea & Coffee Serving,Tea Accessories,Tea Strainers,Stainless steel tea strainer (cup-rim),"Ситечко для чая Базовая коллекция 36963 5 см нержавеющая сталь, 0.1 л 1 шт",Kaspi,Kazakhstan,960,KZT,3.66,3,#109 Fix Price Russia (Для дома > Для кухни (Kitchen)),"Kazakhstan, Russia, Turkey",https://kaspi.kz/shop/p/sitechko-dlja-chaja-bazovaja-kollektsija-36963-5-sm-nerzhavejuschaja-stal-0-1-l-1-sht-108536656/,https://resources.cdn-kaspi.kz/img/m/p/hd5/h92/86160915333150.jpg?format=gallery-large,"Fix Price Russia: #109 in 'Для дома > Для кухни (Kitchen)' (sorted by units sold) | Kaspi 960 KZT (category Дуршлаги и сита); Fix Price core range: 'Ситечко заварочное, O'Kitchen, 7 см' + 3 other strainer SKUs; Trendyol has dedicated 'paslanmaz celik cay suzgeci' category; n11 TR: Kismet soktak strainer 60 TL, 3 reviews"
365,50.5,Ranked in 1 chain,HOUSEHOLD CLEANING,Brooms & Dustpans,Brooms,Push brooms,Wooden push broom with handle,"Щётка деревянная для пола с черенком ""Yozhik""",Fix Price,Kazakhstan,999,KZT,3.81,0,#8 Carrefour Poland (Wyposażenie domu > Domowe porządki > Zamiatanie),"Kazakhstan, Poland, Russia",https://fix-price.kz/ru/catalog/dlya-doma/p-5041077-schtka-derevyannaya-dlya-pola-s-cherenkom-ozhik,https://img.fix-price.kz/insecure/rs:fit:800:800/plain/bit/_marketplace/images/origin/2b/2bcf7d81d2e3f0ed8c6881894681c111.jpg,"Carrefour Poland: #8 in 'Wyposażenie domu > Domowe porządki > Zamiatanie' (most popular) | Fix Price KZ 999 KZT; Fix Price RU listing (currently out of stock) - 'for flat or dacha, leaves'"
366,50.5,Ranked in 1 chain,DECOR & ORGANISATION,Decorative Accessories,Plant Pots,Indoor Plant Pots,Small ceramic plant pot (indoor),Doniczka Dolomit Ø 13 cm,Action,Poland,8.95,PLN,3.96,0,#27 Fix Price Russia (Сувениры и подарки > Фигурки и статуэтки (figurines)),"Poland, Russia, Turkey",https://www.action.com/pl-pl/p/3222367/doniczka-dolomit/,https://asset.action.com/image/upload/t_digital_product_image/w_1920/3222367_5707256753364-111_01_wfap55.webp,"Fix Price Russia: #27 in 'Сувениры и подарки > Фигурки и статуэтки (figurines)' (sorted by units sold) | Action PL 8.95 zl; 'Wazony i doniczki' page 1 lists 7 pots at 8.75-17.99 zl (Amber, Lou, Ivar, ceramic 8.5 cm, metal); n11 TR small ceramic pots e.g. 'Lotus Saksı Küçük' 228.31 TL"
367,50.1,Ranked in 1 chain,HOUSEHOLD CLEANING,Cleaning Brushes,Specialty brushes,Grout brushes,Grout / tile joint brush,Szczotka do fug,Action,Poland,3.99,PLN,1.76,5,#5 Carrefour Poland (Wyposażenie domu > Domowe porządki > Zamiatanie),"Poland, Turkey",https://www.action.com/pl-pl/p/2581914/szczotka-do-fug/,https://asset.action.com/image/upload/t_digital_product_image/w_1080/2581914_8718964259595-111_01_nhfmuu.webp,"Carrefour Poland: #5 in 'Wyposażenie domu > Domowe porządki > Zamiatanie' (most popular) | Action PL 3.99 zł (27 cm, rubber grip) in 'Akcesoria do sprzątania'; n11 TR: 2-pack slim grout/detail brush (derz arası) 5 reviews; İndecor 3-pack slim grout brush listed"
368,50.1,Ranked in 1 chain,FOOD STORAGE & DRINKWARE-TO-GO,Food containers,Microwave containers,Divided meal containers,Microwave meal container with divider,Pojemnik na obiad z przegródką Curver,Action,Poland,7.49,PLN,3.31,0,#46 Carrefour Poland (Wyposażenie domu > Kuchnia i jadalnia > Przechowywanie żywności),"Poland, Russia",https://www.action.com/pl-pl/p/3013364/pojemnik-na-obiad-z-przegrodka-curver/,https://asset.action.com/image/upload/t_digital_product_image/w_1920/22836229.webp,"Carrefour Poland: #46 in 'Wyposażenie domu > Kuchnia i jadalnia > Przechowywanie żywności' (most popular) | Action PL 7.49 zl; Fix Price RU 'Контейнер для еды с клапаном, O'Kitchen' 380 ml (174.50 RUB in page title) and 620 ml (229 RUB), vented microwave containers"
369,50.0,Ranked in 1 chain,"LAUNDRY, BATH & WARDROBE",Bath,Shower,Shower fittings,Ionic filter shower head,Jonizująca głowica prysznicowa,Action,Poland,17.95,PLN,7.93,165,#10 n11 Turkey (n11 search: duş başlığı),"Poland, Turkey",https://www.action.com/pl-pl/p/3008228/jonizujaca-glowica-prysznicowa/,https://asset.action.com/image/upload/t_digital_product_image/w_1920/3008228_3560231539719-110_01_faiqiu.webp,"n11 Turkey: #10 in 'n11 search: duş başlığı' (best-selling) | Action PL 17.95 zl, plus standard 'Głowica prysznicowa Cascata' 17.95 zl ('Akcesoria łazienkowe'); n11: Super Sonic turbo water-saving head set 12 ratings, Gediz 5-function head+hose 50 ratings"
370,49.8,Ranked in 1 chain,FOOD STORAGE & DRINKWARE-TO-GO,Fridge storage,Fridge organisers,Organiser bins,Clear fridge organiser bin,Organizer do lodówki,Action,Poland,12.95,PLN,5.72,20,#4 n11 Turkey (n11 search: kavanoz),"Poland, Russia, Turkey",https://www.action.com/pl-pl/p/3220378/organizer-do-lodowki/,https://asset.action.com/image/upload/t_digital_product_image/w_1920/3220378_8718964260126-110_01_ovdwpx.webp,"n11 Turkey: #4 in 'n11 search: kavanoz' (best-selling) | Action PL 12.95 zl (31.5x15x10 cm); Action carries 8+ fridge bins (Jive 8.95-13.95 zl, 16.95/19.95 zl sizes); n11 TR Selka Home Nora fridge organiser 2x2.25 l 20 reviews; Fix Price RU 'Контейнер для холодильника, O’Kitchen, 27х11 см'"
371,49.7,Ranked in 1 chain,KITCHEN TOOLS,Cutting boards,Plastic boards,Flexible mats,"Flexible cutting mats, set",Porsima TE-138 Esnek Plastik Kesme Tahtası Seti 3'lü,n11,Turkey,349,TRY,12.15,118,#40 Fix Price Kazakhstan (Для дома > Для кухни (Kitchen)),"Kazakhstan, Russia, Turkey",https://www.n11.com/urun/porsima-te-138-esnek-plastik-kesme-tahtasi-seti-3lu-34827097,https://n11scdn.akamaized.net/a1/400_570/14/03/52/18/IMG-9155186070408116953.jpg,"Fix Price Kazakhstan: #40 in 'Для дома > Для кухни (Kitchen)' (popular first) | n11 listing 349 TL; n11: 118 ratings (4.5*), 81 written reviews; Fix Price: 'Доска разделочная гибкая' 28x20 cm (69 RUB per search title) and 35x25 cm (87 RUB) SKUs; Ханпласт boards on Fix Price popularity page 2"
372,49.6,Ranked in 1 chain,DECOR & ORGANISATION,Home Fragrance & Candles,Candle Holders,Lanterns,Candle lantern (metal / glass),Lampion Seasons & Style,Action,Poland,16.95,PLN,7.49,0,#20 Carrefour Poland (Wyposażenie domu > Przyjęcia i świece > Świece i zapachy),"Poland, Turkey",https://www.action.com/pl-pl/p/3217694/lampion-seasons-style/,https://asset.action.com/image/upload/t_digital_product_image/w_1920/3217694_8719504019471-110_01_lqbvs8.webp,Carrefour Poland: #20 in 'Wyposażenie domu > Przyjęcia i świece > Świece i zapachy' (most popular) | Action PL 16.95 zl; Action 'Świeczniki' also lists 'Metalowy lampion' 23.95 zl and 'Latarenka' 29.95 zl; n11 TR: '4 Lü Gri Fener Şamdan Mum' 251.98 TL and several wooden lantern sets
373,49.4,Ranked in 1 chain,HOME TEXTILES,Living & decor textiles,Cushions,Cushion inserts,Cushion insert / inner pad 40x40,"Декоративная подушка внутренняя, 40х40 см",Fix Price,Kazakhstan,1299,KZT,4.96,0,#18 Fix Price Kazakhstan (Для дома > Текстиль (Textiles)),"Kazakhstan, Russia",https://fix-price.kz/ru/catalog/dlya-doma/tekstil/p-5077155-dekorativnaya-podushka-vnutrennyaya-40h40-sm,https://img.fix-price.com/insecure/rs:fit:800:800/plain/pim/images/4c9c4f3bc5209b1e828ff737a214fd7f_24.jpg,"Fix Price Kazakhstan: #18 in 'Для дома > Текстиль (Textiles)' (popular first) | Fix Price KZ 1299 KZT, spunbond cover, hollow siliconised fibre fill, listed in KZ 'Текстиль'; Fix Price RU lists same SKU; complements cushion-cover SKUs (sold separately)"
374,49.4,Ranked in 1 chain,DECOR & ORGANISATION,Decorative Accessories,Artificial Flowers & Plants,Artificial Potted Plants,"Artificial potted plant / succulent, mini",Sukulent w doniczce Excellent Flowers,Action,Poland,12.95,PLN,5.72,0,"#11 Fix Price Russia (Сувениры и подарки > Вазы, цветы, флористика (vases, artificial flowers))","Kazakhstan, Poland, Russia",https://www.action.com/pl-pl/p/3224996/sukulent-w-doniczce-excellent-flowers/,https://asset.action.com/image/upload/t_digital_product_image/w_1920/3224996_8721349904638-111_01_mvxl08.webp,"Fix Price Russia: #11 in 'Сувениры и подарки > Вазы, цветы, флористика (vases, artificial flowers)' (sorted by units sold) | Action PL 12.95 zl; category 'Sztuczne rośliny i kwiaty' page 1 has 12+ potted artificial plants (orchid 9.99 zl, succulents 8.95 zl); Fix Price KZ 'Декорация ""Орхидея в горшочке""' and 'Декорация в горшочке ""Винтаж""'; Kaspi KZ category 'Искусственные растения'"
375,49.1,Ranked in 1 chain,DECOR & ORGANISATION,Storage & Organisation,Cupboard Organisers,Under-sink Organisers,Under-sink / cabinet pull-out organiser,Wysuwana półka do przechowywania,Action,Poland,19.95,PLN,8.82,2,#15 n11 Turkey (n11 search: organizer),"Kazakhstan, Poland, Russia, Turkey",https://www.action.com/pl-pl/p/3220734/wysuwana-polka-do-przechowywania/,https://asset.action.com/image/upload/t_digital_product_image/w_1920/3220734_8718964263745-110_01_tzuhy4.webp,"n11 Turkey: #15 in 'n11 search: organizer' (best-selling) | Action PL 19.95 zl in 'Przechowywanie i organizacja'; Fix Price RU 'Полка настольная двухъярусная для кухни и ванной, 38х17х36 см'; Fix Price KZ 'Двухъярусная полка ""Лакдеморон"", 28х12х25 см'"
376,49.0,Ranked in 1 chain,KITCHEN TOOLS,Cooking utensils,Scoops,Ice cream,Ice cream scoop,Metal Dondurma Servis Kaşığı Krom,n11,Turkey,149.99,TRY,5.22,23,#64 Carrefour Poland (Wyposażenie domu > Kuchnia i jadalnia > Akcesoria kuchenne),"Poland, Turkey",https://www.n11.com/urun/metal-dondurma-servis-kasigi-krom-121900746,https://n11scdn.akamaized.net/a1/400_570/12/88/76/42/IMG-8130890984256432045.png,"Carrefour Poland: #64 in 'Wyposażenie domu > Kuchnia i jadalnia > Akcesoria kuchenne' (most popular) | n11 listing 149.99 TL; n11: 17 ratings (4.5*), category Dondurma Kaşıkları; Tohana ice-cream/halva scoop 23 reviews; Mucit Home scoop 5 reviews"
377,49.0,Ranked in 1 chain,KITCHEN TOOLS,Cooking utensils,Spatulas & turners,Wooden,Wooden cooking spatula / spoon,Łopatka FLORENTYNA Apollo 7Ł0002,Carrefour,Poland,3.69,PLN,1.63,0,#15 Carrefour Poland (Wyposażenie domu > Kuchnia i jadalnia > Akcesoria kuchenne),Poland,https://www.carrefour.pl/zakupy-niecodzienne/dom-i-ogrod/wyposazenie-domu/kuchnia-i-jadalnia/akcesoria-kuchenne-ul/lopatka-florentyna-apollo-7l0002,https://www.carrefour.pl/images/product/350x350/lopatka-florentyna-apollo-7l0002-d37ngd.jpg,Carrefour Poland: #15 in 'Wyposażenie domu > Kuchnia i jadalnia > Akcesoria kuchenne' (most popular)
378,49.0,Ranked in 1 chain,"LAUNDRY, BATH & WARDROBE",Wardrobe,Hangers,Clothes hangers,Children's clothes hangers,Zestaw wieszaków,Pepco,Poland,5,PLN,2.21,0,#17 Carrefour Poland (Wyposażenie domu > Łazienka (all)),Poland,https://pepco.pl/products/zestaw-wieszakow-629984,https://cdn.shopify.com/s/files/1/0951/3592/4548/files/629984_01-MULTICOLOR-11_836c1ceb-5678-40b6-99cf-f78633e5769b.jpg?v=1789352057,Carrefour Poland: #17 in 'Wyposażenie domu > Łazienka (all)' (most popular) | Pepco PL 5 zl / 5 pcs children's hangers with bow ('Tylko w Pepco'); Pepco carries a second kids' set 'Zestaw plastikowych wieszaków dla dzieci' (348010)
379,49.0,Ranked in 1 chain,"TEA, COFFEE & TABLE",Serving,Small Serving Dishes,Shaped dishes,Leaf-shaped porcelain serving dish / bowl (13-28 cm),"Altom Nocturn Salaterka Liść 17,5X13,5Cm",Carrefour,Poland,5.59,PLN,2.47,0,#16 Carrefour Poland (Wyposażenie domu > Kuchnia i jadalnia > Zastawa stołowa),Poland,https://www.carrefour.pl/zakupy-niecodzienne/dom-i-ogrod/wyposazenie-domu/kuchnia-i-jadalnia/zastawa-stolowa/altom-nocturn-salaterka-lisc-175x135cm,https://www.carrefour.pl/images/product/org/altom-nocturn-salaterka-lisc-175x135cm-6ndMcp.jpg,Carrefour Poland: #16 in 'Wyposażenie domu > Kuchnia i jadalnia > Zastawa stołowa' (most popular)
380,49.0,Ranked in 1 chain,DECOR & ORGANISATION,Home Fragrance & Candles,Home Fragrance,Fragrance Oils,Fragrance oil for aroma burner (10 ml),Olejek MUELLER Jabłko,Carrefour,Poland,11.29,PLN,4.99,0,#12 Carrefour Poland (Wyposażenie domu > Przyjęcia i świece > Dekoracje),Poland,https://www.carrefour.pl/zakupy-niecodzienne/dom-i-ogrod/wyposazenie-domu/przyjecia-i-swiece/dekoracje/olejek-mueller-jablko,https://www.carrefour.pl/images/product/350x350/olejek-mueller-jablko-am9ub3.jpg,Carrefour Poland: #12 in 'Wyposażenie domu > Przyjęcia i świece > Dekoracje' (most popular)
381,49.0,Ranked in 1 chain,HOME ESSENTIALS & DIY,Fixing & Hanging,Adhesives & Tapes,Glues,"Specialty repair glue, small tube (wood / shoe / plastic / epoxy)",Klej do Butów PATTEX 50 ml,Carrefour,Poland,11.29,PLN,4.99,0,#15 Carrefour Poland (Dom i ogród > Remont i warsztat (all)),Poland,https://www.carrefour.pl/zakupy-niecodzienne/dom-i-ogrod/remont-i-warsztat/kleje-kf/klej-do-butow-pattex-50-ml,https://www.carrefour.pl/images/product/350x350/klej-do-butow-pattex-50-ml-mki18m.jpg,Carrefour Poland: #15 in 'Dom i ogród > Remont i warsztat (all)' (most popular)
382,48.7,Ranked in 1 chain,HOME TEXTILES,Bath textiles,Bath mats,Terry foot towels,"Terry bath-mat towel (foot towel), 2-pack","Zeynep Tekstil Tyen 2 Adet Ayak Havlusu, Banyo Paspası, Havlu Paspas Beyaz",n11,Turkey,129,TRY,4.49,112,#1 n11 Turkey (n11 search: banyo paspası),Turkey,https://www.n11.com/urun/zeynep-tekstil-tyen-2-adet-ayak-havlusu-banyo-paspasi-havlu-paspas-beyaz-120127350,https://n11scdn.akamaized.net/a1/400_570/11/33/95/17/IMG-6735738090344327641.jpg,"n11 Turkey: #1 in 'n11 search: banyo paspası' (best-selling) | n11: 112 ratings / 105 comments, 5.0 stars, 129 TL for 2, #1 result for 'banyo paspası'; beige variant 74 reviews"
383,48.4,Ranked in 1 chain,"LAUNDRY, BATH & WARDROBE",Bath,Bath accessories,Soap & dental,Touchless automatic soap dispenser,"Дозатор для жидкого мыла, FLARX, в ассортименте",Fix Price,Russia,349,RUB,7.01,70,#1 n11 Turkey (n11 search: sabunluk),"Russia, Turkey",https://fix-price.com/catalog/dlya-doma/p-5013384-dozator-dlya-jidkogo-myla--v-assortimente,https://img.fix-price.com/insecure/rs:fit:800:800/plain/bit/_marketplace/images/origin/dc/dc431b9649690deadd580a07386fc6e5.jpg,"n11 Turkey: #1 in 'n11 search: sabunluk' (best-selling) | Fix Price 349 RUB, touchless foam 300 ml (category 'Для ванной'); n11: Evo House sensor foam dispenser 70 ratings (+21 black), Vayomy 380 ml 34 ratings"
384,48.3,Ranked in 1 chain,DECOR & ORGANISATION,Home Fragrance & Candles,Home Fragrance,Aroma Burners,Ceramic aroma oil / wax burner (tealight),Аромалампа зеленый,Kaspi,Kazakhstan,6000,KZT,22.89,18,#13 Carrefour Poland (Wyposażenie domu > Przyjęcia i świece > Dekoracje),"Kazakhstan, Poland, Russia, Turkey",https://kaspi.kz/shop/p/aromalampa-zelenyi-135146832/,https://resources.cdn-kaspi.kz/img/m/p/pb1/p48/26337211.jpeg?format=gallery-large,"Carrefour Poland: #13 in 'Wyposażenie domu > Przyjęcia i świece > Dekoracje' (most popular) | Kaspi KZ 6000 KZT, category 'Интерьер > Парфюмерия для дома > Аромалампы' (second SKU: ceramic black aroma lamp); n11 TR ceramic 'buhurdanlık' 325 TL with 53, 30 and 18 reviews on three colourways; Fix Price RU sells refill 'Ароматический воск для аромалампы' 174.50 RUB"
